Area,Building Age,Price
                          180 ,22,              3750000              
                          117 ,2 ,              729000              
                          240 ,5 ,              5000000              
                          135 ,35,              3849000              
                          367 ,2 ,              27650000              
                          115 ,1 ,              539000              
                          120 ,3 ,              299000              
                          130 ,1 ,              789000              
                          165 ,8 ,              5000000              
                          137 ,Sı,              1380000              
                          185 ,Sı,              1783000              
                          110 ,Sı,              2760000              
                          84 ,Sı,              1617000              
                          135 ,13,              7800000              
                          458 ,2 ,              30100000              
                          375 ,16,              15000000              
                          105 ,2 ,              459000              
                          90 ,Sı,              259000              
                          100 ,Sı,              435000              
                          135 ,Sı,              1519000              
                          100 ,2 ,              449000              
                          205 ,11,              10000000              
                          280 ,5 ,              5500000              
                          420 ,9 ,              45500000              
                          600 ,18,              71500000              
                          226 ,14,              45500000              
                          150 ,38,              16500000              
                          420 ,20,              9800000              
                          550 ,32,              60000000              
                          260 ,40,              41000000              
                          400 ,1 ,              9800000              
                          190 ,10,              6500000              
                          220 ,5 ,              755000              
                          100 ,8 ,              559000              
                          110 ,3 ,              579000              
                          120 ,1 ,              949000              
                          120 ,Sı,              449000              
                          105 ,Sı,              489000              
                          120 ,1 ,              529900              
                          90 ,Sı,              320000              
                          300 ,40,              30000000              
                          155 ,4 ,              520000              
                          120 ,3 ,              289000              
                          140 ,5 ,              3695000              
                          160 ,3 ,              5950000              
                          230 ,Sı,              4990000              
                          200 ,Sı,              6750000              
                          130 ,2 ,              3100000              
                          200 ,2 ,              3550000              
                          180 ,Sı,              7000000              
                          100 ,Sı,              2650000              
                          380 ,5 ,              11450000              
                          145 ,Sı,              6250000              
                          146 ,Sı,              8400000              
                          150 ,3 ,              3700000              
                          150 ,26,              2000000              
                          150 ,26,              3395000              
                          160 ,Sı,              7245000              
                          135 ,5 ,              3795000              
                          240 ,Sı,              24000000              
                          150 ,Sı,              6600000              
                          240 ,4 ,              4745000              
                          190 ,4 ,              3250000              
                          120 ,2 ,              3465000              
                          175 ,3 ,              6200000              
                          140 ,2 ,              6750000              
                          220 ,Sı,              4700000              
                          200 ,Sı,              9600000              
                          165 ,2 ,              5350000              
                          396 ,5 ,              9275000              
                          180 ,4 ,              8600000              
                          145 ,Sı,              5650000              
                          135 ,3 ,              3945000              
                          330 ,20,              2650000              
                          155 ,6 ,              1550000              
                          130 ,4 ,              3800000              
                          180 ,7 ,              2090000              
                          140 ,5 ,              3700000              
                          265 ,11,              12000000              
                          240 ,Sı,              5850000              
                          280 ,Sı,              7500000              
                          280 ,3 ,              6150000              
                          175 ,2 ,              6600000              
                          135 ,Sı,              2800000              
                          60 ,50,              5250000              
                          190 ,20,              1900000              
                          175 ,Sı,              600000              
                          150 ,4 ,              619000              
                          125 ,Sı,              699000              
                          235 ,2 ,              755000              
                          68 ,24,              230000              
                          130 ,40,              18000000              
                          150 ,30,              12000000              
                          110 ,Sı,              279000              
                          105 ,4 ,              279000              
                          135 ,Sı,              154500              
                          110 ,4 ,              268000              
                          85 ,6 ,              480000              
                          90 ,Sı,              365000              
                          120 ,Sı,              268000              
                          100 ,1 ,              590000              
                          95 ,Sı,              448500              
                          2200 ,28,              1790000              
                          3400 ,16,              6700000              
                          110 ,5 ,              865000              
